Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-11-10;44,00;0,00;4,09;0,00;35,81;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;8,00;4,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;8,00;12,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;35,00;12,00;12,00;4,00;31,00;4,00;0,00;0,00;0,00;8,00;4,00;12,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;27,00;0,00;0,00;0,00;19,00;0,00;0,00;4,00;0,00;4,00;0,00;15,00;0,00;16,00;4,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;52,00;0,00;0,00;0,00;20,39;0,00;0,00;0,00;0,00;12,00;4,00;20,00;0,00;8,00;4,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;16,00;8,00;0,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;43,00;16,00;4,00;0,00;23,00;4,00;0,00;8,00;0,00;8,00;4,00;24,00;0,00;4,00;8,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;28,00;12,00;8,00;0,00;16,00;4,00;0,00;0,00;4,00;12,00;0,00;16,00;0,00;16,00;4,00;0,00;0,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;100,00;9,09;0,00;0,00;52,53;5,00;0,00;14,00;0,00;24,00;14,00;29,00;10,00;14,00;10,00;5,00;19,00;28,00;0,00;19,00;0,00;0,00;0,00;14,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;87,00;5,06;5,06;0,00;36,42;18,00;9,00;9,00;0,00;18,00;5,00;32,00;9,00;18,00;0,00;9,00;0,00;18,00;0,00;5,00;9,00;0,00;0,00;9,00;0,00;5,00;5,00;23,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;54,00;4,00;0,00;0,00;46,00;8,00;8,00;8,00;0,00;0,00;0,00;31,00;0,00;19,00;4,00;15,00;12,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;12,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-01-12;52,00;15,00;4,00;4,00;30,00;7,00;0,00;4,00;0,00;7,00;0,00;22,00;30,00;11,00;0,00;11,00;7,00;22,00;4,00;7,00;0,00;0,00;0,00;7,00;4,00;4,00;4,00;15,00;0,00;0,00;4,00;0,00;0,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00
2020-01-19;61,00;0,00;15,25;4,07;23,38;0,00;4,00;0,00;8,00;23,00;0,00;34,00;0,00;19,00;11,00;15,00;15,00;8,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;23,00;0,00;8,00;0,00;8,00;4,00;23,00;4,00;0,00;0,00;0,00;0,00
2020-01-26;38,00;4,11;4,11;4,11;42,11;0,00;0,00;8,00;0,00;30,00;0,00;45,00;0,00;11,00;4,00;11,00;8,00;4,00;0,00;4,00;0,00;4,00;4,00;11,00;0,00;0,00;8,00;15,00;15,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;98,00;4,04;4,04;0,00;19,20;4,00;0,00;4,00;4,00;15,00;0,00;8,00;0,00;19,00;11,00;4,00;19,00;11,00;0,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;8,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;72,00;4,06;0,00;0,00;37,52;4,00;0,00;94,00;0,00;11,00;0,00;30,00;0,00;8,00;11,00;4,00;0,00;19,00;0,00;15,00;4,00;4,00;4,00;8,00;0,00;0,00;4,00;23,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;38,00;4,00;0,00;4,00;15,00;8,00;4,00;0,00;8,00;8,00;0,00;15,00;0,00;23,00;4,00;11,00;11,00;15,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;11,00;8,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;44,00;11,26;0,00;4,09;14,33;11,00;0,00;0,00;0,00;15,00;0,00;15,00;4,00;4,00;4,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;15,00;7,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-03-01;47,00;0,00;4,00;0,00;29,00;4,00;0,00;4,00;0,00;7,00;4,00;7,00;0,00;15,00;7,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;7,00;0,00;0,00;4,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;80,00;7,09;3,04;0,00;101,27;3,00;3,00;10,00;0,00;10,00;7,00;52,00;0,00;10,00;10,00;7,00;7,00;10,00;0,00;7,00;3,00;7,00;3,00;0,00;0,00;10,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;14,00;7,00;0,00;4,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;3,00;0,00;0,00;7,00;33,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;3,00;3,00;0,00;0,00;31,00;3,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;8,00;4,57;4,57;0,00;17,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;4,00;4,00;0,00;0,00;15,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;10,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;10,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;8,00;0,00;4,00;0,00;11,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;11,00;0,00;0,00;0,00;4,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;18,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;18,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;4,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
