Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-10-06;59,00;0,00;22,00;4,00;26,00;61,36;28,32;6,56;13,11;85,22;0,00;4,00;15,00;0,00;4,00;11,00;4,00;22,00;19,00;0,00;4,43;7,38;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;55,00;0,00;22,00;0,00;11,00;50,22;21,52;0,00;20,63;48,13;0,00;4,00;4,00;11,00;4,00;15,00;7,00;11,00;4,00;0,00;10,41;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;40,00;4,00;25,00;7,00;11,00;54,12;18,82;0,00;6,67;100,00;0,00;0,00;4,00;4,00;4,00;11,00;18,00;11,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;26,00;4,00;7,00;0,00;33,00;28,36;28,36;0,00;6,50;78,00;13,00;0,00;7,00;0,00;0,00;18,00;0,00;36,00;4,00;0,00;18,35;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;18,00;0,00;22,00;11,00;11,00;74,25;20,25;6,00;6,00;60,00;0,00;7,00;7,00;0,00;0,00;22,00;11,00;18,00;0,00;0,00;7,50;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;22,00;7,00;18,00;4,00;22,00;36,67;22,00;0,00;7,33;51,33;7,33;7,00;4,00;0,00;4,00;4,00;4,00;14,00;7,00;0,00;2,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;36,00;4,00;18,00;4,00;25,00;38,40;14,40;7,20;21,60;72,00;0,00;0,00;7,00;0,00;0,00;7,00;4,00;14,00;4,00;0,00;22,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;28,00;4,00;35,00;7,00;7,00;58,33;23,33;7,00;14,00;63,00;7,00;7,00;0,00;0,00;4,00;0,00;7,00;11,00;7,00;0,00;38,32;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;33,00;4,00;11,00;0,00;0,00;47,14;25,93;0,00;13,20;85,80;6,60;0,00;0,00;0,00;0,00;30,00;7,00;11,00;7,00;0,00;94,70;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;38,00;4,00;11,00;0,00;4,00;33,25;11,88;0,00;6,33;31,67;6,33;4,00;0,00;0,00;4,00;15,00;0,00;4,00;8,00;0,00;109,62;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;33,00;4,00;22,00;0,00;15,00;28,29;40,07;6,60;13,20;59,40;6,60;7,00;4,00;0,00;7,00;15,00;4,00;18,00;7,00;0,00;63,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
